"title","job_id","job_category","posting_date","apply_before","job_schedule","locations","banner","requirements"
"Deli Clerk","W732500","Retail, Store Ops","07/04/2026, 08:00 PM",,"Part time","1001 SOUTH ST, PHILADELPHIA, PA, 19147, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Fresh Cut Produce Clerk","753555","Retail, Store Ops","08/15/2026, 02:50 PM",,"Part time","309 S 5TH ST, PHILADELPHIA, PA, 19106, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Front End Entry Level","753578","Retail, Store Ops","08/15/2026, 02:58 PM",,"Part time","309 S 5TH ST, PHILADELPHIA, PA, 19106, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Frozen Food Supervisor-Philadelphia, PA","755785","Retail, Store Ops","09/11/2026, 11:22 AM","09/25/2026, 11:55 PM","Full time","309 S 5TH ST, PHILADELPHIA, PA, 19106, US","ACME Markets","* Requires an extensive retail background with prior management experience related to retail operations. Requires a thorough understanding of overall Company practices, policies and procedures. * Requires strong written and oral communication skills, good leadership and interpersonal skills, the proven ability to manage people and the ability to maintain composure in dealing with customers and co-workers. Knowledge of employment laws and workplace practices. Interacts effectively with all levels of personnel. * Strong business and financial knowledge. * Requires the ability to identify needs, problems, and opportunities and to make effective short and long term plans and implement them to maximize sales and gross margins. Requires knowledge of every position in the store. Requires knowledge of basic math and accounting and computer software. Requires knowledge of and compliance with state and federal regulations. Must have extensive working knowledge of profit and loss statements. Must be familiar with emergency plans in the event of a natural disaster, serious accident or uncommon event(s) * While primary duty is the performance of office and non-manual work, must occasionally perform manual work such as setting up and maintaining displays, operating a cash register and assisting in other departments as business needs demand. Must stand and walk for long periods of time. Must occasionally reach, lift, stack and maneuver objects of varying dimensions and weights up to approximately 50 lbs. Must occasionally push and pull fully loaded hand trucks and pallet jacks. Must be able to cover for various positions throughout the store as required. * Mental alertness is required to ensure safe, accurate completion of work activities and to do repetitious work accurately. * May utilize cleaning supplies and safety cutters. * Occasional travel may be required. May be required to work nights, weekends and holidays. Scheduled hours will vary. Regular attendance is required. * Complies with and ensures compliance with Company grooming standards and dress code."
"Retail Sales and Store Support","753573","Retail, Store Ops","08/15/2026, 02:55 PM",,"Part time","309 S 5TH ST, PHILADELPHIA, PA, 19106, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","753572","Retail, Store Ops","08/15/2026, 02:53 PM",,"Part time","309 S 5TH ST, PHILADELPHIA, PA, 19106, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Night Crew Stocker","753576","Retail, Store Ops","08/15/2026, 02:57 PM",,"Part time","309 S 5TH ST, PHILADELPHIA, PA, 19106, US","ACME Markets","· You are 18 years of age or older. · You agree that food is central in all our lives. · You enjoy being on your feet, in fast paced, always moving type work. · You take pride in the work you do, with every detail, whether big or small. · You don’t mind working in different environments (freezer, refrigerator, sales floor). · Being a part of your community matters."
"In-Store Shopper","W734814","Retail, Store Ops","07/09/2026, 08:00 PM",,"Part time","1400 E PASSYUNK AVE, PHILADELPHIA, PA, 19147, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Night Crew Stocker","W738193","Retail, Store Ops","07/19/2026, 08:00 PM",,"Part time","1400 E PASSYUNK AVE, PHILADELPHIA, PA, 19147, US","ACME Markets","· You are 18 years of age or older. · You agree that food is central in all our lives. · You enjoy being on your feet, in fast paced, always moving type work. · You take pride in the work you do, with every detail, whether big or small. · You don’t mind working in different environments (freezer, refrigerator, sales floor). · Being a part of your community matters."
"Beverage Steward","766162","Retail, Store Ops","09/14/2026, 08:12 AM",,"Part time","1400 E PASSYUNK AVE, PHILADELPHIA, PA, 19147, US","ACME Markets","Customer Interaction Skills: Ability to communicate clearly with customers and provide accurate product information Product Knowledge: Basic understanding of wine and beer categories, with interest in learning product characteristics and pairings Communication Skills: Ability to convey product details, pricing, and promotional information clearly Attention to Detail: Ability to maintain accuracy in pricing, labeling, rotation, and presentation standards Organization & Time Management: Ability to prioritize tasks, manage workflow, and maintain an orderly work area Inventory & Stocking Practices: Ability to stock, rotate, and maintain inventory levels to meet demand Vendor & Product Coordination: Ability to communicate with vendors regarding ordering, product availability, and merchandising activities Event & Promotion Awareness: Ability to prepare and execute tasting events, promotions, and sampling activities Adaptability: Ability to adjust to changing priorities and workload in a fast‑paced environment Physical Capability: Ability to lift and move products up to 50lbs, stand for extended periods, and remain active throughout the shift Requirements: Must be 18 years of age or older Availability to work weekends, holidays, and varying shifts Compliance with all alcohol sales regulations and company policies"
